respondent_id,group,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20
R0001,reference,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0
R0002,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
R0003,reference,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
R0004,reference,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
R0005,reference,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0
R0006,reference,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
R0007,reference,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
R0008,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
R0009,reference,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
R0010,reference,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0011,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0
R0012,reference,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
R0013,reference,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
R0014,reference,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
R0015,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0
R0016,reference,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
R0017,reference,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
R0018,reference,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0
R0019,reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0020,reference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
R0021,reference,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R0022,reference,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0
R0023,reference,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0
R0024,reference,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R0025,reference,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0
R0026,reference,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
R0027,reference,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
