item_id,discrimination,difficulty_reference,difficulty_focal,dif_planted
item_01,1.3957,-2.0000,-2.0000,no
item_02,1.3500,-1.7895,-1.7895,no
item_03,0.9569,-1.5789,-1.5789,no
item_04,1.8504,-1.3684,-1.3684,no
item_05,1.9049,-1.1579,-0.3579,yes
item_06,0.8595,-0.9474,-0.9474,no
item_07,1.1346,-0.7368,-0.7368,no
item_08,0.8094,-0.5263,-0.5263,no
item_09,1.5349,-0.3158,-0.3158,no
item_10,1.9776,-0.1053,-0.1053,no
item_11,1.2445,0.1053,0.9053,yes
item_12,0.8349,0.3158,0.3158,no
item_13,1.9786,0.5263,0.5263,no
item_14,1.0837,0.7368,0.7368,no
item_15,1.8419,0.9474,0.9474,no
item_16,1.4149,1.1579,1.1579,no
item_17,1.1171,1.3684,2.1684,yes
item_18,1.9421,1.5789,1.5789,no
item_19,1.9944,1.7895,1.7895,no
item_20,1.8454,2.0000,2.0000,no
