item_id,discrimination,difficulty,guessing
item_01,1.0683,-2.0000,0.2341
item_02,0.9102,-1.8621,0.2324
item_03,1.5594,-1.7241,0.2440
item_04,1.0711,-1.5862,0.1937
item_05,1.9254,-1.4483,0.1648
item_06,1.9896,-1.3103,0.2096
item_07,1.7557,-1.1724,0.2130
item_08,0.8384,-1.0345,0.2295
item_09,1.2036,-0.8966,0.2217
item_10,0.9212,-0.7586,0.2456
item_11,1.7902,-0.6207,0.1926
item_12,1.0994,-0.4828,0.2105
item_13,0.8440,-0.3448,0.2041
item_14,0.8451,-0.2069,0.2354
item_15,1.9415,-0.0690,0.2290
item_16,1.8774,0.0690,0.2371
item_17,0.8399,0.2069,0.1968
item_18,1.6769,0.3448,0.2367
item_19,1.6317,0.4828,0.1718
item_20,1.0404,0.6207,0.1968
item_21,1.2039,0.7586,0.2104
item_22,1.8820,0.8966,0.1700
item_23,1.1138,1.0345,0.2154
item_24,1.6980,1.1724,0.1624
item_25,1.8170,1.3103,0.2286
item_26,0.8594,1.4483,0.2461
item_27,0.9723,1.5862,0.1530
item_28,1.9895,1.7241,0.2399
item_29,1.8184,1.8621,0.2267
item_30,1.5622,2.0000,0.2198
