item_id,discrimination,boundary_1,boundary_2,boundary_3,boundary_4
q01,1.0460,-2.5000,-1.8333,-1.1667,-0.5000
q02,1.6634,-2.2857,-1.6190,-0.9524,-0.2857
q03,1.6903,-2.0714,-1.4048,-0.7381,-0.0714
q04,1.8915,-1.8571,-1.1905,-0.5238,0.1429
q05,1.4416,-1.6429,-0.9762,-0.3095,0.3571
q06,1.6926,-1.4286,-0.7619,-0.0952,0.5714
q07,0.9582,-1.2143,-0.5476,0.1190,0.7857
q08,1.8916,-1.0000,-0.3333,0.3333,1.0000
q09,1.1208,-0.7857,-0.1190,0.5476,1.2143
q10,1.4343,-0.5714,0.0952,0.7619,1.4286
q11,1.8217,-0.3571,0.3095,0.9762,1.6429
q12,1.5033,-0.1429,0.5238,1.1905,1.8571
q13,1.5116,0.0714,0.7381,1.4048,2.0714
q14,1.9692,0.2857,0.9524,1.6190,2.2857
q15,1.6430,0.5000,1.1667,1.8333,2.5000
